Table with row headers in column A and column headers in rows 4 through 974. Leading dots indicate subparts.,,,,,,,,,,
CBSA Report Chapter 3 Data,,,,,,,,,,
,,,,,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Land area in
square miles, 2010",Population density1,,,,
,,,,,,Overall,,Population weighted,,
,,,2000,2010,,2000,2010,2000,2010,"Change, 2000 to 2010"
,United States,,"281,421,906","308,745,538","3,531,905.4",79.7,87.4,"5,654.7","5,369.0",-285.7
,...Inside core based statistical area,,"262,290,227","289,261,315","1,649,928.4",159.0,175.3,"6,056.1","5,720.4",-335.7
,…...In metropolitan statistical area,,"233,069,827","258,317,763","912,992.1",255.3,282.9,"6,725.4","6,320.8",-404.6
10180,"Abilene, TX",Metropolitan Statistical Area,"160,245","165,252","2,743.5",58.4,60.2,"1,903.0","1,771.8",-131.2
10420,"Akron, OH",Metropolitan Statistical Area,"694,960","703,200",900.1,772.1,781.2,"2,682.9","2,412.8",-270.1
10500,"Albany, GA",Metropolitan Statistical Area,"157,833","157,308","1,932.6",81.7,81.4,952.4,922.7,-29.7
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"825,875","870,716","2,811.6",293.7,309.7,"2,858.6","2,944.9",86.3
10740,"Albuquerque, NM",Metropolitan Statistical Area,"729,649","887,077","9,282.5",78.6,95.6,"3,310.2","3,518.6",208.4
10780,"Alexandria, LA",Metropolitan Statistical Area,"145,035","153,922","1,961.0",74.0,78.5,845.0,803.2,-41.8
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,"740,395","821,173","1,453.2",509.5,565.1,"3,643.6","3,889.3",245.7
11020,"Altoona, PA",Metropolitan Statistical Area,"129,144","127,089",525.8,245.6,241.7,"2,755.7","2,428.7",-327.0
11100,"Amarillo, TX",Metropolitan Statistical Area,"226,522","249,881","3,649.2",62.1,68.5,"2,743.6","2,591.4",-152.2
11180,"Ames, IA",Metropolitan Statistical Area,"79,981","89,542",572.8,139.6,156.3,"2,382.0","2,343.4",-38.6
11260,"Anchorage, AK",Metropolitan Statistical Area,"319,605","380,821","26,312.6",12.1,14.5,"2,930.5","3,006.9",76.4
11300,"Anderson, IN",Metropolitan Statistical Area,"133,358","131,636",451.9,295.1,291.3,"1,524.6","1,327.9",-196.8
11340,"Anderson, SC",Metropolitan Statistical Area,"165,740","187,126",715.4,231.7,261.6,551.1,596.7,45.6
11460,"Ann Arbor, MI",Metropolitan Statistical Area,"322,895","344,791",706.0,457.4,488.4,"3,606.4","3,363.5",-242.9
11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,"112,249","118,572",605.9,185.3,195.7,614.4,566.6,-47.8
11540,"Appleton, WI",Metropolitan Statistical Area,"201,602","225,666",955.8,210.9,236.1,"2,156.5","1,950.0",-206.4
11700,"Asheville, NC",Metropolitan Statistical Area,"369,171","424,858","2,033.0",181.6,209.0,662.2,728.7,66.5
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,"166,079","192,541","1,024.8",162.1,187.9,"1,330.2","1,442.5",112.3
12060,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,"4,247,981","5,268,860","8,338.5",509.4,631.9,"2,213.3","2,173.0",-40.3
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,"252,552","274,549",555.7,454.5,494.1,"3,601.0","3,412.3",-188.7
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,"115,092","140,247",607.5,189.4,230.8,"1,198.5","1,220.9",22.4
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,"499,684","556,877","3,270.3",152.8,170.3,"1,158.7","1,098.6",-60.0
12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,"1,249,763","1,716,289","4,219.9",296.2,406.7,"3,259.2","3,131.5",-127.8
12540,"Bakersfield-Delano, CA",Metropolitan Statistical Area,"661,645","839,631","8,131.9",81.4,103.3,"3,631.2","3,711.5",80.3
12580,"Baltimore-Towson, MD",Metropolitan Statistical Area,"2,552,994","2,710,489","2,601.5",981.4,"1,041.9","5,890.9","5,435.7",-455.2
12620,"Bangor, ME",Metropolitan Statistical Area,"144,919","153,923","3,397.4",42.7,45.3,858.5,827.4,-31.1
12700,"Barnstable Town, MA",Metropolitan Statistical Area,"222,230","215,888",393.7,564.4,548.3,867.8,847.1,-20.7
12940,"Baton Rouge, LA",Metropolitan Statistical Area,"705,973","802,484","4,026.9",175.3,199.3,"1,640.2","1,603.3",-36.9
12980,"Battle Creek, MI",Metropolitan Statistical Area,"137,985","136,146",706.2,195.4,192.8,"1,313.9","1,179.4",-134.5
13020,"Bay City, MI",Metropolitan Statistical Area,"110,157","107,771",442.3,249.1,243.7,"1,920.5","1,780.5",-140.0
13140,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,"385,090","388,745","2,100.5",183.3,185.1,"1,779.2","1,711.2",-68.0
13380,"Bellingham, WA",Metropolitan Statistical Area,"166,814","201,140","2,106.9",79.2,95.5,"1,678.6","1,775.1",96.4
13460,"Bend, OR",Metropolitan Statistical Area,"115,367","157,733","3,018.2",38.2,52.3,960.6,"1,154.6",194.0
13740,"Billings, MT",Metropolitan Statistical Area,"138,904","158,050","4,682.1",29.7,33.8,"2,148.5","2,109.9",-38.6
13780,"Binghamton, NY",Metropolitan Statistical Area,"252,320","251,725","1,224.4",206.1,205.6,"2,141.3","2,226.1",84.8
